seqCrct,seqRT,pushed,crctKey,tt,is_switch,is_probe,sequence
-1,Inf,0,3,1,0,0,003
1,0.610473,3,3,1,0,0,003
1,0.576804,3,3,1,0,1,XXX
-1,Inf,0,2,1,0,0,020
1,0.808444,1,1,1,0,0,100
1,0.447234,2,2,1,0,1,XXX
1,0.545356,3,3,1,0,0,003
1,0.584865,1,1,1,0,0,100
1,0.460578,3,3,1,0,1,XXX
-1,Inf,0,1,1,0,1,XXX
1,0.657788,3,3,1,0,0,003
1,0.589383,1,1,1,0,0,100
1,0.838555,2,2,1,0,0,020
-1,Inf,0,1,1,0,1,XXX
-1,Inf,0,2,1,0,1,XXX
1,0.864732,2,2,1,0,0,020
1,0.729303,1,1,1,0,0,100
1,0.565509,2,2,1,0,0,020
1,0.632510,2,2,1,0,0,020
1,0.652946,1,1,1,0,0,100
1,0.819436,2,2,1,0,1,XXX
-1,Inf,0,1,1,0,1,XXX
1,0.718619,3,3,1,0,0,003
1,0.638935,1,1,1,0,0,100
1,0.800118,1,1,1,0,0,100
1,0.619290,3,3,1,0,0,003
1,0.874765,2,2,1,0,0,020
-1,Inf,0,3,1,0,1,XXX
-1,Inf,0,2,1,0,1,XXX
1,0.657439,1,1,1,0,0,100
1,0.551438,1,1,1,0,0,100
1,0.666719,1,1,1,0,1,XXX
1,0.714269,2,2,1,0,0,020
1,0.574846,2,2,1,0,0,020
1,0.719415,3,3,1,0,0,003
1,0.601097,2,2,1,0,1,XXX
1,0.549315,1,1,1,0,0,100
1,0.559491,2,2,1,0,0,020
1,0.727316,3,3,1,0,0,003
1,0.854001,3,3,1,0,0,003
